date,zip,territory,people_served_num,smoke_alarms_installed_num,fire_escape_plans_num,additional_hazards_num,year,month,dow,is_weekend
2017-04-08,93450,Central Coast,2,1,2.0,0,2017,4,5,1
2015-08-29,92066,San Diego,7,7,1.0,0,2015,8,5,1
2016-03-02,92780,Orange County,8,3,1.0,0,2016,3,2,0
2023-05-17,90127,LA Metro,8,6,1.0,1,2023,5,2,0
2017-04-23,92316,Inland Empire,8,4,0.0,0,2017,4,6,1
2025-08-29,91920,San Diego,0,0,1.0,0,2025,8,4,0
2025-07-29,93147,Central Coast,0,1,0.0,0,2025,7,1,0
2024-04-01,92340,Inland Empire,14,19,2.0,0,2024,4,0,0
2021-04-18,92534,Inland Empire,1,1,0.0,2,2021,4,6,1
2021-05-30,92453,Inland Empire,6,6,0.0,1,2021,5,6,1
2017-05-19,90022,LA Metro,12,8,0.0,0,2017,5,4,0
2020-03-03,90072,LA Metro,0,3,3.0,1,2020,3,1,0
2016-01-12,90016,LA Metro,3,3,2.0,1,2016,1,1,0
2017-05-10,92413,Inland Empire,1,3,0.0,1,2017,5,2,0
2020-02-16,92512,Inland Empire,5,3,1.0,1,2020,2,6,1
2024-02-15,92414,Inland Empire,0,0,1.0,1,2024,2,3,0
2018-08-21,90150,LA Metro,1,1,2.0,1,2018,8,1,0
2023-05-21,92702,Orange County,6,2,0.0,0,2023,5,6,1
2016-05-07,90183,LA Metro,1,1,1.0,1,2016,5,5,1
2017-05-27,92308,Inland Empire,1,2,2.0,2,2017,5,5,1
2017-01-08,90046,LA Metro,1,3,1.0,1,2017,1,6,1
2018-10-16,92104,San Diego,9,11,1.0,1,2018,10,1,0
2024-06-17,90092,LA Metro,7,7,1.0,0,2024,6,0,0
2022-11-14,92445,Inland Empire,7,5,2.0,0,2022,11,0,0
2021-04-25,92187,San Diego,2,2,1.0,0,2021,4,6,1
2022-11-13,90084,LA Metro,8,8,1.0,1,2022,11,6,1
2024-11-07,90125,LA Metro,5,3,1.0,3,2024,11,3,0
2018-06-24,93459,Central Coast,8,5,1.0,1,2018,6,6,1
2021-05-05,90103,LA Metro,2,1,1.0,0,2021,5,2,0
2015-09-22,90193,LA Metro,2,2,0.0,1,2015,9,1,0
2019-07-22,92745,Orange County,0,0,0.0,1,2019,7,0,0
2019-05-09,90163,LA Metro,16,15,1.0,1,2019,5,3,0
2015-02-09,93141,Central Coast,0,0,0.0,1,2015,2,0,0
2016-04-18,92657,Orange County,4,4,2.0,0,2016,4,0,0
2021-01-25,92398,Inland Empire,0,4,0.0,0,2021,1,0,0
2020-04-30,93166,Central Coast,1,2,0.0,0,2020,4,3,0
2024-09-24,92086,San Diego,0,2,0.0,0,2024,9,1,0
2022-07-30,92416,Inland Empire,3,1,0.0,0,2022,7,5,1
2019-03-08,92665,Orange County,1,1,1.0,1,2019,3,4,0
2018-04-18,93449,Central Coast,2,2,1.0,0,2018,4,2,0
2020-02-06,93178,Central Coast,2,1,1.0,0,2020,2,3,0
2024-11-07,93482,Central Coast,2,1,1.0,0,2024,11,3,0
2024-07-29,93470,Central Coast,0,0,2.0,0,2024,7,0,0
2024-10-13,90030,LA Metro,6,5,0.0,0,2024,10,6,1
2022-01-23,92405,Inland Empire,1,1,0.0,0,2022,1,6,1
2023-05-14,90105,LA Metro,1,1,2.0,0,2023,5,6,1
2017-10-06,92574,Inland Empire,0,0,1.0,1,2017,10,4,0
2025-08-01,90123,LA Metro,0,0,2.0,0,2025,8,4,0
2022-08-15,92385,Inland Empire,0,0,0.0,1,2022,8,0,0
2019-10-08,93409,Central Coast,0,0,1.0,1,2019,10,1,0
2020-02-17,93136,Central Coast,0,0,1.0,0,2020,2,0,0
2023-11-03,92701,Orange County,1,1,0.0,0,2023,11,4,0
2024-09-26,93434,Central Coast,0,0,1.0,1,2024,9,3,0
2024-10-10,92057,San Diego,0,0,0.0,0,2024,10,3,0
2025-07-13,90082,LA Metro,2,3,1.0,0,2025,7,6,1
2017-12-08,90077,LA Metro,4,3,0.0,0,2017,12,4,0
2024-05-03,93416,Central Coast,4,1,0.0,0,2024,5,4,0
2024-10-27,92456,Inland Empire,3,5,0.0,0,2024,10,6,1
2019-05-28,90085,LA Metro,6,7,0.0,1,2019,5,1,0
2017-11-20,92773,Orange County,0,0,1.0,1,2017,11,0,0
2017-10-11,92519,Inland Empire,0,0,1.0,0,2017,10,2,0
2022-01-27,92663,Orange County,1,4,0.0,0,2022,1,3,0
2024-04-13,92083,San Diego,0,1,0.0,0,2024,4,5,1
2024-04-29,93144,Central Coast,1,2,3.0,0,2024,4,0,0
2017-07-03,92036,San Diego,3,2,0.0,2,2017,7,0,0
2021-10-15,92123,San Diego,1,1,0.0,1,2021,10,4,0
2020-05-02,92305,Inland Empire,1,0,0.0,1,2020,5,5,1
2024-06-09,92398,Inland Empire,0,2,1.0,1,2024,6,6,1
2021-09-22,90046,LA Metro,0,1,0.0,0,2021,9,2,0
2019-02-26,90058,LA Metro,2,2,1.0,0,2019,2,1,0
2024-06-14,90192,LA Metro,2,7,0.0,0,2024,6,4,0
2020-02-02,90010,LA Metro,9,7,2.0,0,2020,2,6,1
2016-08-27,92328,Inland Empire,0,0,0.0,2,2016,8,5,1
2024-12-14,90044,LA Metro,5,7,0.0,0,2024,12,5,1
2023-04-07,93485,Central Coast,1,1,0.0,0,2023,4,4,0
2016-08-10,92694,Orange County,9,3,2.0,1,2016,8,2,0
2023-05-17,92690,Orange County,19,13,1.0,0,2023,5,2,0
2022-01-31,92304,Inland Empire,9,9,1.0,1,2022,1,0,0
2018-02-17,90050,LA Metro,6,2,0.0,1,2018,2,5,1
2017-05-17,90009,LA Metro,1,1,0.0,0,2017,5,2,0
2017-08-02,91958,San Diego,4,5,0.0,0,2017,8,2,0
2023-11-23,90034,LA Metro,7,11,0.0,0,2023,11,3,0
2017-07-18,90055,LA Metro,12,9,2.0,1,2017,7,1,0
2018-12-07,92357,Inland Empire,10,6,0.0,0,2018,12,4,0
2025-03-31,92624,Orange County,0,0,0.0,1,2025,3,0,0
2019-05-12,92324,Inland Empire,4,4,3.0,1,2019,5,6,1
2023-10-03,90016,LA Metro,2,2,0.0,1,2023,10,1,0
2017-09-09,90185,LA Metro,7,1,0.0,1,2017,9,5,1
2023-05-05,93458,Central Coast,4,5,1.0,1,2023,5,4,0
2017-06-04,90043,LA Metro,0,0,1.0,0,2017,6,6,1
2020-01-23,92161,San Diego,0,4,0.0,0,2020,1,3,0
2025-05-30,91951,San Diego,9,8,0.0,0,2025,5,4,0
2017-03-09,92402,Inland Empire,0,0,0.0,1,2017,3,3,0
2025-09-03,90175,LA Metro,2,1,1.0,1,2025,9,2,0
2015-05-19,90079,LA Metro,7,5,2.0,1,2015,5,1,0
2023-10-24,90050,LA Metro,3,2,1.0,1,2023,10,1,0
2023-01-22,93140,Central Coast,7,4,0.0,0,2023,1,6,1
2021-10-07,92714,Orange County,2,1,0.0,0,2021,10,3,0
2023-09-02,90159,LA Metro,0,1,1.0,0,2023,9,5,1
2015-05-22,90136,LA Metro,4,7,1.0,0,2015,5,4,0
2018-07-08,90015,LA Metro,4,4,0.0,1,2018,7,6,1
2020-03-20,92165,San Diego,4,3,0.0,0,2020,3,4,0
2017-08-15,92142,San Diego,2,1,1.0,0,2017,8,1,0
2016-07-23,90011,LA Metro,1,1,0.0,0,2016,7,5,1
2017-09-01,90104,LA Metro,10,5,0.0,1,2017,9,4,0
